# Time, setPoint, Actual Brake Current, prevsetPoint, MotorCurrentMotorSpeed
0.00,99.00,100.40,8.28,0.00
0.01,99.00,99.30,8.94,0.11
nan,nan,nan,nan,nan
0.02,99.00,98.80,3.12,0.70
0.03,99.00,102.10,0.96,1.44
nan,nan,nan,nan,nan
0.04,99.00,98.80,2.94,2.06
nan,nan,nan,nan,nan
0.05,99.00,98.30,5.64,2.35
0.07,99.00,100.40,5.94,2.50
nan,nan,nan,nan,nan
0.08,99.00,97.20,6.12,2.59
nan,nan,nan,nan,nan
0.09,99.00,103.70,5.46,2.76
0.10,99.00,99.30,6.12,2.93
nan,nan,nan,nan,nan
0.11,99.00,99.90,6.48,2.99
0.12,99.00,97.20,6.66,2.95
nan,nan,nan,nan,nan
0.13,99.00,95.00,6.90,2.97
0.14,99.00,98.80,5.34,3.01
nan,nan,nan,nan,nan
0.15,99.00,101.00,4.80,3.18
0.16,99.00,100.40,7.74,3.12
nan,nan,nan,nan,nan
0.17,99.00,97.70,6.00,3.18
0.18,99.00,99.30,6.78,3.12
nan,nan,nan,nan,nan
0.19,99.00,95.00,6.66,3.18
nan,nan,nan,nan,nan
0.20,99.00,99.90,6.78,3.27
0.21,99.00,99.30,5.76,3.31
nan,nan,nan,nan,nan
0.22,99.00,97.20,7.68,3.27
nan,nan,nan,nan,nan
0.23,99.00,99.30,5.82,3.31
0.24,99.00,97.70,5.76,3.35
nan,nan,nan,nan,nan
0.26,99.00,99.90,7.68,3.33
0.27,99.00,99.90,5.46,3.37
nan,nan,nan,nan,nan
0.28,99.00,98.80,7.50,3.33
0.29,99.00,101.00,7.02,3.27
nan,nan,nan,nan,nan
0.30,99.00,97.70,6.06,3.31
nan,nan,nan,nan,nan
0.31,99.00,99.30,4.74,3.50
0.32,99.00,104.20,6.72,3.54
nan,nan,nan,nan,nan
0.33,99.00,99.90,6.78,3.48
nan,nan,nan,nan,nan
0.34,99.00,97.70,6.00,3.50
0.35,99.00,100.40,7.62,3.54
nan,nan,nan,nan,nan
0.36,99.00,99.30,8.04,3.48
0.37,99.00,99.90,6.78,3.50
nan,nan,nan,nan,nan
0.38,99.00,99.30,4.92,3.69
0.39,99.00,98.30,8.40,3.71
nan,nan,nan,nan,nan
0.40,99.00,97.70,7.62,3.65
nan,nan,nan,nan,nan
0.41,99.00,101.50,8.94,3.56
0.42,99.00,97.70,6.90,3.61
nan,nan,nan,nan,nan
0.43,99.00,97.70,6.72,3.63
0.44,99.00,98.30,7.74,3.67
nan,nan,nan,nan,nan
0.45,99.00,99.90,7.74,3.59
0.47,99.00,99.30,7.56,3.56
nan,nan,nan,nan,nan
0.48,99.00,97.20,6.66,3.61
0.49,99.00,98.30,6.96,3.73
