# Actual Command, Previous Torque, Measured Torque, Predicted Command
99.000,1.250,102.248,97.878
96.100,102.248,104.314,91.418
84.800,104.314,94.008,80.743
15.900,94.008,10.245,15.146
0.900,10.245,0.015,0.977
70.100,0.015,70.814,70.973
20.300,70.814,16.023,21.205
42.000,16.023,36.221,40.435
64.400,36.221,65.753,64.388
56.200,65.753,58.547,55.849
38.000,58.547,35.784,37.220
90.200,35.784,95.251,90.168
47.600,95.251,50.123,46.076
49.900,50.123,50.506,48.009
72.900,50.506,76.619,70.599
29.300,76.619,26.534,29.200
77.200,26.534,81.118,78.013
62.300,81.118,69.043,60.731
31.800,69.043,30.354,32.426
56.800,30.354,56.465,55.365
18.900,56.465,14.666,20.138
46.400,14.666,41.802,45.185
46.400,41.802,44.923,44.371
2.000,44.923,-0.409,-0.621
35.300,-0.409,26.838,34.508
2.600,26.838,0.028,0.272
56.800,0.028,53.539,55.908
35.500,53.539,31.408,34.160
59.700,31.408,58.744,57.206
25.400,58.744,19.863,24.674
36.800,19.863,32.437,36.876
8.200,32.437,2.493,6.498
37.600,2.493,31.131,38.097
47.700,31.131,42.276,44.460
42.800,42.276,39.498,40.114
34.500,39.498,31.920,34.557
3.600,31.920,0.243,0.572
54.800,0.243,52.713,55.188
76.900,52.713,79.780,75.448
36.100,79.780,34.275,34.849
92.400,34.275,96.226,91.266
8.100,96.226,2.494,3.885
40.700,2.494,33.539,40.105
32.800,33.539,28.403,32.265
96.200,28.403,101.161,96.525
84.500,101.161,95.849,82.710
67.900,95.849,77.160,66.645
20.400,77.160,16.254,21.517
38.400,16.254,32.817,37.632
61.200,32.817,62.169,61.443
57.500,62.169,59.469,56.942
23.800,59.469,20.205,24.751
62.800,20.205,64.614,63.998
15.800,64.614,10.284,15.393
77.600,10.284,80.583,78.945
60.900,80.583,66.679,58.828
60.000,66.679,64.520,58.032
54.400,64.520,61.259,55.499
61.200,61.259,64.908,58.868
30.300,64.908,29.404,31.763
58.400,29.404,59.004,57.717
63.500,59.004,66.022,60.061
0.900,66.022,-0.605,-0.694
41.900,-0.605,35.239,41.020
83.000,35.239,86.317,81.941
69.400,86.317,76.732,66.814
83.400,76.732,89.119,78.752
29.000,89.119,25.418,29.153
5.000,25.418,0.786,1.676
46.100,0.786,41.480,45.845
95.600,41.480,101.472,95.953
63.000,101.472,70.971,61.524
68.400,70.971,74.546,66.223
11.500,74.546,5.857,10.204
13.900,5.857,6.521,12.052
80.300,6.521,83.744,81.631
81.000,83.744,86.007,75.117
36.600,86.007,36.015,36.420
79.800,36.015,83.820,79.310
82.800,83.820,90.210,81.948
68.700,90.210,75.758,65.762
93.100,75.758,102.343,92.402
71.400,102.343,82.067,70.429
64.300,82.067,73.430,64.320
41.800,73.430,43.445,41.460
1.500,43.445,-0.185,-0.223
44.800,-0.185,39.453,44.292
90.500,39.453,96.546,90.113
31.600,96.546,28.046,30.208
35.500,28.046,31.781,35.442
73.300,31.781,77.292,73.864
73.600,77.292,77.826,72.025
1.400,77.826,-0.674,0.665
36.700,-0.674,29.173,36.342
30.600,29.173,24.239,30.301
66.500,24.239,67.995,66.467
53.700,67.995,55.371,52.867
44.000,55.371,46.520,44.466
53.900,46.520,54.251,51.431
56.900,54.251,57.512,53.331
85.400,57.512,90.855,83.013
20.500,90.855,16.788,22.097
96.300,16.788,102.519,97.674
56.700,102.519,63.395,55.720
42.000,63.395,42.925,41.362
26.800,42.925,24.396,28.492
32.400,24.396,28.073,32.820
22.900,28.073,18.849,24.519
66.600,18.849,69.367,68.410
66.800,69.367,69.888,65.693
78.500,69.888,83.971,77.776
98.800,83.971,108.349,98.503
50.300,108.349,54.677,49.441
49.900,54.677,54.990,51.211
29.300,54.990,26.179,29.511
23.700,26.179,19.938,25.664
66.900,19.938,68.400,67.713
92.300,68.400,100.870,92.152
79.500,100.870,89.443,76.822
67.400,89.443,77.336,67.123
66.800,77.336,76.669,67.466
49.100,76.669,53.913,48.987
30.800,53.913,29.173,31.774
55.800,29.173,56.924,55.930
89.900,56.924,96.469,89.019
39.900,96.469,40.804,39.276
60.100,40.804,62.670,59.364
70.900,62.670,75.731,71.302
81.100,75.731,87.409,80.215
42.600,87.409,44.684,42.577
65.000,44.684,68.230,63.789
92.100,68.230,102.042,93.236
3.200,102.042,-0.375,-2.113
92.900,-0.375,97.903,91.602
96.600,97.903,104.434,93.472
19.700,104.434,15.896,20.831
4.900,15.896,0.911,2.284
74.000,0.911,76.442,75.761
68.100,76.442,72.964,64.355
64.400,72.964,70.111,65.618
65.100,70.111,69.412,65.215
51.900,69.412,56.104,53.409
97.700,56.104,106.696,100.289
49.100,106.696,53.964,48.912
2.200,53.964,-0.278,-0.262
91.000,-0.278,95.213,91.632
77.000,95.213,85.345,73.588
43.100,85.345,43.861,41.688
46.300,43.861,46.333,45.283
29.600,46.333,26.367,29.908
0.000,26.367,-0.837,-1.336
0.400,-0.837,-0.217,4.263
0.000,-0.217,-0.519,3.660
3.000,-0.519,0.152,4.910
0.700,0.152,-0.370,3.909
3.700,-0.370,0.238,5.052
3.700,0.238,0.021,4.616
10.900,0.021,2.357,8.628
5.600,2.357,0.267,4.898
11.000,0.267,2.267,8.463
10.400,2.267,2.603,8.853
11.800,2.603,3.037,6.934
8.900,3.037,1.482,4.211
17.900,1.482,6.325,14.376
14.500,6.325,4.966,12.123
18.700,4.966,8.385,14.748
14.700,8.385,6.392,11.639
26.100,6.392,16.888,24.602
25.500,16.888,16.536,24.585
29.700,16.536,19.146,26.976
26.100,19.146,17.023,24.867
27.700,17.023,19.038,26.844
27.100,19.038,18.677,26.373
29.300,18.677,20.687,28.147
27.900,20.687,19.180,26.692
38.100,19.180,31.095,36.463
36.600,31.095,29.769,34.542
44.400,29.769,38.596,40.649
41.900,38.596,36.012,37.759
48.500,36.012,45.296,45.285
48.000,45.296,44.102,43.399
55.400,44.102,55.269,52.557
50.200,55.269,50.194,47.320
54.600,50.194,54.139,50.949
53.700,54.139,53.106,49.733
60.900,53.106,61.630,56.930
56.100,61.630,57.074,52.306
64.700,57.074,66.523,60.710
64.200,66.523,67.089,60.218
66.800,67.089,69.789,62.479
65.000,69.789,70.388,62.736
66.000,70.388,69.172,61.641
64.300,69.172,67.772,60.559
71.900,67.772,76.574,68.353
68.500,76.574,74.148,68.894
68.500,74.148,74.770,69.619
65.300,74.770,71.842,67.010
68.700,71.842,73.787,68.936
63.700,73.787,69.861,65.334
72.900,69.861,77.600,72.386
68.000,77.600,74.614,69.223
71.400,74.614,76.039,70.686
66.000,76.039,73.076,67.997
74.600,73.076,79.446,73.727
70.100,79.446,78.852,72.743
79.900,78.852,86.209,78.989
78.900,86.209,85.996,78.261
88.300,85.996,96.235,86.862
85.500,96.235,94.771,84.847
90.000,94.771,97.903,87.659
84.800,97.903,95.673,85.492
90.000,95.673,99.274,88.805
84.700,99.274,97.951,87.363
90.000,97.951,100.063,89.345
84.400,100.063,95.672,85.327
90.000,95.672,98.925,88.494
86.900,98.925,98.779,88.120
89.100,98.779,98.986,88.315
85.200,98.986,95.874,85.582
86.800,95.874,96.591,86.435
82.600,96.591,94.346,84.460
90.000,94.346,100.617,90.117
87.100,100.617,98.171,87.455
90.000,98.171,101.127,90.299
88.300,101.127,98.527,87.730
100.000,98.527,111.352,100.994
90.400,111.352,103.917,90.202
91.000,103.917,106.176,93.413
85.000,106.176,100.425,86.873
90.800,100.425,102.557,91.467
83.800,102.557,99.137,85.845
84.000,99.137,97.569,87.039
80.600,97.569,94.147,84.217
84.000,94.147,97.535,87.384
82.000,97.535,95.869,85.688
82.300,95.869,95.362,85.379
77.700,95.362,93.812,84.100
82.800,93.812,94.867,85.112
81.400,94.867,95.194,85.311
81.700,95.194,94.843,84.987
74.900,94.843,89.246,80.316
75.500,89.246,88.751,77.088
68.700,88.751,82.628,71.688
70.400,82.628,81.989,71.638
66.400,81.989,78.802,68.911
71.700,78.802,82.504,75.891
68.900,82.504,80.211,70.091
74.900,80.211,84.881,74.453
65.300,84.881,77.907,67.913
71.000,77.907,80.713,70.957
70.000,80.713,81.489,71.373
72.600,81.489,82.879,72.532
63.400,82.879,74.642,65.285
66.300,74.642,76.516,71.096
60.100,76.516,69.723,65.006
63.500,69.723,71.048,66.691
