# setPoint, prevsetPoint, Current
3.50,0.00,1.00
95.00,3.50,101.73
54.30,95.00,60.55
44.90,54.30,48.05
5.40,44.90,1.19
17.00,5.40,11.29
58.60,17.00,62.37
12.00,58.60,4.90
85.70,12.00,94.77
76.80,85.70,88.09
73.80,76.80,85.22
51.00,73.80,57.57
65.30,51.00,72.61
39.30,65.30,42.43
36.90,39.30,38.43
67.60,36.90,74.92
90.00,67.60,101.49
23.50,90.00,23.32
63.90,23.50,70.27
68.10,63.90,74.05
10.30,68.10,10.58
22.90,10.30,14.26
70.30,22.90,78.55
27.60,70.30,27.41
97.70,27.60,110.27
14.30,97.70,6.38
11.60,14.30,6.13
99.80,11.60,113.65
78.20,99.80,93.11
46.50,78.20,51.15
99.10,46.50,112.77
58.60,99.10,70.30
84.10,58.60,97.54
5.40,84.10,4.00
9.90,5.40,3.56
7.90,9.90,2.22
87.00,7.90,99.26
35.80,87.00,36.49
54.90,35.80,59.18
22.90,54.90,20.70
91.20,22.90,104.04
46.90,91.20,54.76
66.10,46.90,74.36
9.40,66.10,3.90
72.20,9.40,81.70
68.60,72.20,78.50
4.30,68.60,2.67
7.60,4.30,3.37
59.20,7.60,62.80
10.50,59.20,6.50
72.40,10.50,80.83
33.10,72.40,31.58
46.80,33.10,47.19
14.60,46.80,9.28
75.50,14.60,85.26
44.10,75.50,47.48
33.10,44.10,34.48
82.30,33.10,93.93
43.60,82.30,49.79
12.20,43.60,7.56
82.10,12.20,92.58
81.90,82.10,93.31
73.80,81.90,87.38
82.30,73.80,93.48
6.00,82.30,2.04
38.00,6.00,31.94
30.00,38.00,27.27
16.40,30.00,8.75
75.30,16.40,84.39
50.00,75.30,55.84
29.90,50.00,27.73
46.90,29.90,46.82
2.30,46.90,3.82
41.20,2.30,36.99
77.60,41.20,88.23
72.40,77.60,81.86
30.90,72.40,28.70
88.40,30.90,101.27
74.90,88.40,87.46
26.30,74.90,23.83
46.00,26.30,47.80
60.30,46.00,65.46
98.30,60.30,112.11
88.20,98.30,106.95
61.10,88.20,73.44
40.50,61.10,44.99
46.40,40.50,49.86
5.70,46.40,1.46
90.30,5.70,102.41
87.70,90.30,103.39
8.90,87.70,3.74
0.60,8.90,-1.19
1.00,0.60,-2.33
77.20,1.00,86.20
97.20,77.20,110.06
43.50,97.20,45.21
11.40,43.50,6.57
15.80,11.40,8.03
16.20,15.80,7.48
56.30,16.20,59.08
34.30,56.30,33.57
39.20,34.30,38.83
68.70,39.20,76.55
55.00,68.70,63.22
94.50,55.00,109.10
21.50,94.50,18.53
52.40,21.50,53.81
19.60,52.40,14.72
84.40,19.60,97.10
43.50,84.40,48.82
19.40,43.50,14.61
79.20,19.40,88.86
78.60,79.20,90.35
39.40,78.60,42.06
49.30,39.40,53.04
0.30,49.30,-2.47
84.40,0.30,95.68
49.30,84.40,54.87
27.90,49.30,25.52
68.70,27.90,75.50
83.80,68.70,94.29
77.80,83.80,90.98
35.20,77.80,35.81
51.80,35.20,54.41
22.00,51.80,20.85
62.00,22.00,67.89
11.40,62.00,6.55
97.20,11.40,111.80
30.70,97.20,28.55
35.70,30.70,34.08
34.00,35.70,32.13
49.80,34.00,52.01
100.00,49.80,114.60
61.90,100.00,75.85
3.40,61.90,1.21
60.10,3.40,64.81
85.40,60.10,99.25
34.60,85.40,35.49
60.00,34.60,65.29
72.70,60.00,83.16
27.10,72.70,26.58
69.30,27.10,79.03
83.30,69.30,96.88
96.70,83.30,111.70
31.10,96.70,27.64
33.20,31.10,32.80
55.00,33.20,59.84
90.20,55.00,105.18
57.20,90.20,68.08
90.00,57.20,102.25
0.00,90.00,-1.84
3.80,0.00,-0.55
0.20,3.80,3.52
5.20,0.20,0.12
3.80,5.20,0.00
6.60,3.80,0.08
3.20,6.60,-0.18
5.60,3.20,3.38
3.20,5.60,-3.44
7.60,3.20,-0.02
4.30,7.60,0.00
12.30,4.30,4.03
11.00,12.30,2.35
11.40,11.00,2.38
7.80,11.40,2.67
8.20,7.80,0.04
6.00,8.20,2.51
8.80,6.00,1.51
5.20,8.80,-0.74
7.40,5.20,2.21
4.60,7.40,0.57
8.20,4.60,0.26
5.80,8.20,1.67
12.00,5.80,3.54
8.50,12.00,2.83
15.10,8.50,5.22
12.40,15.10,4.22
13.80,12.40,3.61
11.70,13.80,4.27
15.70,11.70,5.00
15.40,15.70,5.70
15.80,15.40,5.93
15.10,15.80,4.97
16.10,15.10,7.09
12.80,16.10,4.91
20.60,12.80,8.88
19.90,20.60,8.73
24.90,19.90,14.60
24.80,24.90,32.31
31.20,24.80,16.47
29.20,31.20,22.71
34.80,29.20,27.91
30.80,34.80,23.79
32.80,30.80,25.92
28.90,32.80,22.46
34.50,28.90,26.51
32.60,34.50,28.27
34.40,32.60,28.09
30.70,34.40,25.14
38.10,30.70,32.05
36.50,38.10,29.89
37.10,36.50,30.58
36.70,37.10,33.14
43.70,36.70,40.89
43.60,43.70,42.29
47.80,43.60,46.33
46.30,47.80,45.03
49.30,46.30,49.39
47.40,49.30,47.79
48.80,47.40,49.54
48.30,48.80,47.35
56.30,48.30,58.12
53.60,56.30,56.35
61.60,53.60,67.32
58.80,61.60,65.31
61.80,58.80,67.67
60.10,61.80,64.16
68.10,60.10,75.77
67.90,68.10,76.19
68.70,67.90,77.80
68.10,68.70,76.45
69.90,68.10,78.88
68.10,69.90,77.49
70.30,68.10,80.23
67.50,70.30,76.55
69.30,67.50,80.53
68.60,69.30,78.31
69.80,68.60,78.35
66.60,69.80,76.40
69.40,66.60,78.45
66.90,69.40,76.77
71.30,66.90,81.26
70.00,71.30,79.63
71.00,70.00,80.50
70.50,71.00,80.43
72.90,70.50,83.93
69.40,72.90,80.85
74.20,69.40,86.14
73.90,74.20,84.92
77.70,73.90,89.69
75.30,77.70,88.87
