# Actual Command, Previous Torque, Measured Torque, Predicted Command
76.000,1.250,77.180,74.083
25.000,77.180,20.110,24.183
0.000,20.110,1.250,2.804
70.000,1.250,69.260,67.454
73.000,69.260,75.710,69.376
28.000,75.710,24.680,28.205
53.000,24.680,50.920,51.725
90.000,50.920,94.960,85.789
53.000,94.960,57.410,52.578
88.000,57.410,92.850,83.825
37.000,92.850,37.020,36.947
15.000,37.020,13.010,17.312
89.000,13.010,93.820,88.495
68.000,93.820,76.250,68.270
99.000,76.250,104.670,92.518
70.000,104.670,80.380,70.969
50.000,80.380,55.200,51.787
48.000,55.200,52.100,50.995
85.000,52.100,90.510,82.193
7.000,90.510,3.460,5.324
40.000,3.460,34.080,40.037
36.000,34.080,31.010,36.065
23.000,31.010,16.560,23.688
61.000,16.560,61.330,60.235
41.000,61.330,40.520,41.593
39.000,40.520,38.520,41.436
58.000,38.520,57.010,55.811
22.000,57.010,17.250,22.608
6.000,17.250,2.040,4.249
56.000,2.040,53.530,54.748
36.000,53.530,33.500,36.722
98.000,33.500,101.890,92.294
66.000,101.890,73.410,65.338
72.000,73.410,78.790,71.676
88.000,78.790,94.680,84.284
8.000,94.680,4.320,6.780
0.000,4.320,1.250,3.660
67.000,1.250,69.200,67.404
53.000,69.200,54.790,52.224
12.000,54.790,8.130,12.420
65.000,8.130,64.790,63.889
77.000,64.790,81.310,74.206
77.000,81.310,79.720,71.972
77.000,79.720,82.010,73.954
11.000,82.010,6.760,9.696
19.000,6.760,11.600,17.744
2.000,11.600,1.250,4.947
10.000,1.250,1.810,6.550
33.000,1.810,24.570,32.674
99.000,24.570,104.060,94.794
3.000,104.060,1.250,3.225
39.000,1.250,33.150,39.436
40.000,33.150,34.370,38.721
69.000,34.370,71.640,67.762
92.000,71.640,97.530,86.922
40.000,97.530,38.940,38.169
15.000,38.940,10.040,14.463
90.000,10.040,95.550,89.895
9.000,95.550,5.230,8.076
58.000,5.230,57.410,57.339
3.000,57.410,1.930,3.163
94.000,1.930,98.050,92.006
41.000,98.050,41.130,39.772
70.000,41.130,72.700,65.287
8.000,72.700,3.510,5.166
95.000,3.510,99.620,93.196
83.000,99.620,92.730,81.495
23.000,92.730,19.700,23.410
80.000,19.700,82.870,78.664
73.000,82.870,80.790,72.759
86.000,80.790,91.280,81.439
19.000,91.280,15.710,19.766
77.000,15.710,80.610,77.257
87.000,80.610,94.000,83.642
45.000,94.000,47.560,44.854
48.000,47.560,50.350,50.086
96.000,50.350,101.590,91.143
56.000,101.590,62.640,56.407
96.000,62.640,102.000,90.929
55.000,102.000,63.630,57.194
53.000,63.630,59.980,56.779
85.000,59.980,94.300,84.867
99.000,94.300,107.790,94.272
47.000,107.790,51.860,44.014
13.000,51.860,9.220,13.853
64.000,9.220,66.560,65.388
57.000,66.560,59.390,56.113
29.000,59.390,26.510,30.740
81.000,26.510,86.910,80.501
81.000,86.910,87.970,78.403
98.000,87.970,106.390,93.401
77.000,106.390,88.690,77.733
46.000,88.690,48.930,46.246
76.000,48.930,82.910,76.247
14.000,82.910,9.420,13.033
52.000,9.420,51.980,51.387
34.000,51.980,31.970,35.634
54.000,31.970,52.970,52.964
30.000,52.970,27.550,32.036
53.000,27.550,52.780,53.028
87.000,52.780,92.180,83.494
81.000,92.180,91.370,80.853
12.000,91.370,7.020,10.203
82.000,7.020,87.220,83.536
9.000,87.220,4.410,6.563
10.000,4.410,3.850,8.018
58.000,3.850,57.700,57.867
33.000,57.700,30.560,34.128
6.000,30.560,1.900,4.755
97.000,1.900,103.790,97.267
27.000,103.790,21.770,25.247
28.000,21.770,24.310,26.918
51.000,24.310,50.630,47.331
15.000,50.630,11.360,16.687
18.000,11.360,11.750,19.762
55.000,11.750,54.720,55.237
28.000,54.720,25.350,30.093
74.000,25.350,78.170,73.466
34.000,78.170,32.720,34.471
15.000,32.720,11.000,17.478
88.000,11.000,94.860,88.175
25.000,94.860,20.280,23.903
43.000,20.280,39.650,38.548
5.000,39.650,1.250,2.836
97.000,1.250,103.290,96.903
39.000,103.290,40.230,38.908
51.000,40.230,51.310,45.441
21.000,51.310,17.420,20.891
32.000,17.420,26.510,29.018
89.000,26.510,94.550,88.020
86.000,94.550,93.650,82.564
52.000,93.650,57.300,52.576
86.000,57.300,93.260,84.156
65.000,93.260,74.430,66.788
81.000,74.430,89.940,80.696
9.000,89.940,4.820,7.232
91.000,4.820,96.460,90.318
99.000,96.460,107.630,94.018
48.000,107.630,51.700,43.895
96.000,51.700,104.960,95.069
57.000,104.960,65.650,58.667
46.000,65.650,51.960,50.206
43.000,51.960,47.950,47.950
14.000,47.950,10.480,15.811
66.000,10.480,69.030,66.739
85.000,69.030,92.020,82.634
35.000,92.020,33.650,34.464
95.000,33.650,102.890,95.418
59.000,102.890,68.780,61.403
38.000,68.780,38.430,39.473
84.000,38.430,92.030,84.020
38.000,92.030,39.840,39.097
16.000,39.840,12.220,16.582
23.000,12.220,17.020,22.280
83.000,17.020,91.140,86.056
39.000,91.140,38.900,38.437
92.000,38.900,99.700,91.258
34.000,99.700,34.170,34.588
44.000,34.170,43.670,39.791
67.000,43.670,71.560,63.740
0.000,71.560,1.250,1.590
23.000,1.250,14.110,22.958
34.000,14.110,25.380,32.718
38.000,25.380,31.340,36.842
81.000,31.340,88.200,81.293
48.000,88.200,51.090,47.974
12.000,51.090,5.590,9.149
21.000,5.590,14.250,20.557
24.000,14.250,16.710,24.906
6.000,16.710,1.330,4.743
73.000,1.330,79.430,75.979
76.000,79.430,80.040,72.351
85.000,80.040,92.560,82.512
10.000,92.560,4.730,7.226
41.000,4.730,35.580,37.962
5.000,35.580,1.260,3.327
97.000,1.260,104.870,98.398
47.000,104.870,49.770,45.973
72.000,49.770,77.890,68.573
68.000,77.890,74.890,68.184
25.000,74.890,21.070,25.148
39.000,21.070,34.330,34.282
74.000,34.330,78.450,72.025
44.000,78.450,47.180,45.563
81.000,47.180,89.420,81.539
53.000,89.420,60.030,55.085
81.000,60.030,89.280,80.861
5.000,89.280,1.250,1.888
68.000,1.250,70.700,68.650
74.000,70.700,78.050,71.221
12.000,78.050,7.040,10.084
13.000,7.040,6.260,11.296
66.000,6.260,70.310,69.367
37.000,70.310,36.380,37.794
18.000,36.380,14.840,21.544
39.000,14.840,34.140,39.547
68.000,34.140,71.510,67.667
35.000,71.510,33.110,35.191
50.000,33.110,51.050,51.419
82.000,51.050,88.020,80.252
71.000,88.020,80.930,72.550
19.000,80.930,15.130,19.318
70.000,15.130,74.470,71.818
9.000,74.470,4.080,5.995
19.000,4.080,11.480,17.929
8.000,11.480,2.700,7.372
17.000,2.700,8.950,16.877
95.000,8.950,102.460,95.026
26.000,102.460,22.770,26.012
90.000,22.770,97.220,90.846
33.000,97.220,32.100,33.129
8.000,32.100,2.920,5.429
92.000,2.920,99.260,92.954
3.000,99.260,1.250,2.658
56.000,1.250,56.250,56.915
60.000,56.250,60.920,57.987
13.000,60.920,8.630,12.729
73.000,8.630,78.950,76.719
10.000,78.950,5.280,7.687
19.000,5.280,11.050,17.320
1.000,11.050,1.250,4.983
85.000,1.250,92.900,87.545
66.000,92.900,75.070,67.347
44.000,75.070,47.830,46.304
31.000,47.830,31.440,35.502
74.000,31.440,79.350,74.143
72.000,79.350,79.080,71.563
37.000,79.080,36.140,37.038
75.000,36.140,81.600,75.752
90.000,81.600,98.380,87.123
11.000,98.380,7.650,11.336
72.000,7.650,75.900,74.197
25.000,75.900,21.360,25.355
91.000,21.360,99.160,92.731
86.000,99.160,98.480,86.221
43.000,98.480,46.020,43.427
56.000,46.020,60.220,52.676
84.000,60.220,93.020,80.607
39.000,93.020,42.510,41.055
57.000,42.510,62.450,55.295
78.000,62.450,84.960,72.795
67.000,84.960,75.940,62.424
83.000,75.940,91.640,76.638
41.000,91.640,44.430,38.406
10.000,44.430,6.380,10.415
8.000,6.380,3.280,6.942
71.000,3.280,77.240,75.809
23.000,77.240,18.850,23.030
87.000,18.850,94.810,89.017
22.000,94.810,17.480,21.440
8.000,17.480,3.810,7.064
77.000,3.810,82.990,80.405
41.000,82.990,41.890,41.178
81.000,41.890,88.920,80.267
7.000,88.920,2.810,4.289
