# setPoint, prevTorque, Torque
99.099,1.250,117.651
83.426,117.651,103.830
99.313,8.361,118.096
75.080,118.096,94.148
99.313,8.412,117.923
67.302,117.923,85.080
99.313,8.597,119.245
59.651,119.245,76.052
99.313,8.527,119.063
52.022,119.063,64.558
99.313,8.556,118.775
44.478,118.775,52.369
99.313,8.638,119.023
37.063,119.023,40.307
99.313,8.602,119.015
29.625,119.015,30.416
99.313,8.548,119.254
21.639,119.254,19.869
99.313,8.589,118.931
12.023,118.931,9.438
99.313,8.546,118.708
0.000,118.708,1.603
