# setPoint, prevTorque, Torque
99.081,1.250,115.860
84.283,115.860,103.368
99.441,8.223,116.750
75.521,116.750,93.492
99.441,8.238,116.353
67.526,116.353,85.053
99.441,8.318,117.284
60.033,117.284,74.680
99.441,8.187,117.364
52.779,117.364,65.190
99.441,8.304,116.776
45.500,116.776,53.531
99.441,8.363,116.848
37.930,116.848,39.971
99.441,8.323,117.487
29.808,117.487,28.304
99.441,8.347,117.608
20.867,117.608,19.355
99.441,8.358,117.702
10.845,117.702,6.919
99.441,8.410,118.296
0.000,118.296,1.662
