# setPoint, prevTorque, Torque
98.732,1.250,116.458
82.662,116.458,102.253
99.122,8.243,116.250
73.728,116.250,91.561
99.122,8.380,116.893
65.960,116.893,82.691
99.122,8.439,117.501
58.962,117.501,73.564
99.122,8.323,118.324
52.337,118.324,64.329
99.122,8.417,118.454
45.686,118.454,54.504
99.122,8.464,117.987
38.611,117.987,41.480
99.122,8.375,117.714
30.717,117.714,31.069
99.122,8.342,117.683
21.604,117.683,19.919
99.122,8.403,117.741
10.875,117.741,7.456
99.122,8.344,117.292
0.000,117.292,3.057
