# setPoint, prevTorque, Torque
98.629,1.250,113.413
82.559,113.413,98.749
98.454,98.749,115.282
73.681,115.282,89.912
98.454,89.912,113.999
65.514,113.999,79.358
98.454,79.358,114.632
57.855,114.632,70.459
98.454,70.459,115.292
50.662,115.292,58.012
98.454,58.012,114.410
43.902,114.410,47.782
98.454,47.782,113.694
37.403,113.694,39.052
98.454,39.052,113.873
30.699,113.873,29.727
98.454,8.140,113.104
22.884,113.104,16.983
98.454,16.983,113.077
12.456,113.077,5.377
98.454,5.377,113.266
0.000,113.266,-0.201
