# setPoint, prevTorque, Torque
64.700,1.250,73.702
62.000,73.702,70.204
59.200,70.204,67.016
56.400,67.016,64.270
53.700,64.270,61.583
50.900,61.583,58.785
48.100,58.785,54.142
45.400,54.142,52.174
43.200,52.174,49.708
41.300,49.708,47.460
39.300,47.460,44.598
37.300,44.598,41.866
40.100,41.866,45.368
42.900,45.368,46.949
45.600,46.949,49.455
48.400,49.455,53.220
51.200,53.220,56.755
53.900,56.755,59.446
56.700,59.446,62.833
59.500,62.833,66.500
62.200,66.500,69.026
64.700,69.026,74.056
56.800,74.056,65.707
54.100,65.707,62.565
51.400,62.565,59.460
48.700,59.460,56.936
46.000,56.936,54.743
43.700,54.743,50.277
41.800,50.277,47.828
40.000,47.828,45.780
38.100,45.780,43.062
36.100,43.062,40.787
34.100,40.787,38.342
36.800,38.342,39.305
39.500,39.305,43.171
42.100,43.171,45.728
44.800,45.728,48.445
47.500,48.445,53.085
50.100,53.085,55.949
52.800,55.949,58.601
55.500,58.601,61.629
58.200,61.629,64.144
36.800,64.144,41.374
34.400,41.374,39.083
32.300,39.083,35.200
30.100,35.200,31.967
27.900,31.967,28.287
25.600,28.287,25.703
23.100,25.703,23.545
31.000,23.545,29.008
33.500,29.008,32.627
36.000,32.627,36.517
38.400,36.517,39.049
40.700,39.049,41.999
11.100,41.999,9.979
9.000,9.979,5.254
6.800,5.254,5.430
14.900,5.430,9.064
24.500,9.064,19.523
21.900,19.523,18.650
19.100,18.650,14.948
16.000,14.948,13.214
20.600,13.214,15.461
24.500,15.461,19.538
46.400,19.538,48.481
43.700,48.481,46.366
41.100,46.366,44.860
38.400,44.860,42.016
35.800,42.016,38.406
33.100,38.406,34.458
31.100,34.458,33.275
29.100,33.275,29.946
27.000,29.946,27.746
29.500,27.746,29.887
32.000,29.887,31.790
34.400,31.790,35.723
36.900,35.723,37.394
39.400,37.394,39.499
41.800,39.499,43.278
44.300,43.278,46.211
80.900,46.211,94.952
78.500,94.952,94.971
76.100,94.971,92.586
73.700,92.586,89.765
71.300,89.765,87.480
68.900,87.480,85.093
66.500,85.093,81.930
64.000,81.930,80.239
61.600,80.239,76.752
59.200,76.752,73.612
56.800,73.612,70.788
54.400,70.788,66.497
52.000,66.497,63.714
49.600,63.714,60.650
47.200,60.650,56.651
49.800,56.651,60.193
52.400,60.193,61.742
55.000,61.742,64.532
57.600,64.532,67.581
60.200,67.581,70.309
62.700,70.309,72.771
65.300,72.771,76.362
67.900,76.362,79.645
70.500,79.645,82.956
73.100,82.956,86.474
75.700,86.474,90.185
78.300,90.185,91.623
80.900,91.623,95.208
6.300,95.208,3.104
4.100,3.104,2.294
28.300,2.294,22.132
26.200,22.132,19.609
24.000,19.609,18.300
21.500,18.300,16.683
18.900,16.683,13.659
22.400,13.659,16.464
25.500,16.464,19.436
28.300,19.436,23.487
50.800,23.487,54.644
48.200,54.644,53.068
45.600,53.068,51.972
43.100,51.972,47.161
40.500,47.161,45.552
37.900,45.552,41.503
35.600,41.503,38.047
33.700,38.047,36.683
31.800,36.683,35.259
29.800,35.259,31.769
32.300,31.769,33.258
34.700,33.258,36.166
37.200,36.166,39.042
39.700,39.042,42.188
42.200,42.188,44.882
44.600,44.882,47.204
47.100,47.204,49.346
49.600,49.346,53.294
26.900,53.294,27.469
24.500,27.469,23.119
22.000,23.119,21.524
19.400,21.524,18.354
16.700,18.354,15.372
25.300,15.372,21.589
28.700,21.589,26.755
31.700,26.755,29.195
36.400,29.195,35.368
32.900,35.368,33.457
29.400,33.457,29.605
25.900,29.605,25.549
22.600,25.549,21.404
20.000,21.404,19.538
28.200,19.538,25.939
31.100,25.939,29.164
33.800,29.164,32.428
36.400,32.428,36.075
43.500,36.075,44.710
40.700,44.710,43.071
37.800,43.071,39.603
34.900,39.603,39.202
32.000,39.202,33.753
29.500,33.753,30.329
27.400,30.329,28.011
25.100,28.011,25.770
27.700,25.770,26.721
30.300,26.721,29.976
32.900,29.976,32.738
35.500,32.738,35.953
38.100,35.953,40.559
40.800,40.559,40.611
69.600,40.611,80.645
66.700,80.645,79.305
63.900,79.305,76.590
61.100,76.590,73.997
58.300,73.997,69.983
55.500,69.983,66.326
52.600,66.326,62.937
49.800,62.937,59.535
47.200,59.535,56.084
45.400,56.084,53.312
43.500,53.312,51.312
41.600,51.312,47.357
39.700,47.357,45.644
42.500,45.644,47.859
45.200,47.859,51.426
48.000,51.426,54.386
50.800,54.386,57.114
53.500,57.114,60.055
56.300,60.055,62.346
59.000,62.346,67.065
61.800,67.065,70.535
64.600,70.535,74.673
67.100,74.673,77.525
69.600,77.525,81.414
17.500,81.414,13.654
15.300,13.654,10.805
13.100,10.805,8.582
10.700,8.582,7.171
18.700,7.171,12.994
22.400,12.994,17.194
5.000,17.194,4.324
3.200,4.324,4.292
82.800,4.292,98.410
79.600,98.410,97.337
76.400,97.337,93.201
73.300,93.201,90.979
70.100,90.979,89.006
66.900,89.006,86.420
63.800,86.420,84.755
