# Torque, Command, State
0.00,0.00,1.00
72.84,64.74,1.00
69.86,61.97,0.00
66.88,59.20,0.00
63.90,56.43,0.00
60.92,53.66,0.00
57.94,50.89,0.00
54.96,48.12,0.00
51.98,45.35,0.00
49.00,43.16,-1.00
46.02,41.26,-1.00
43.04,39.33,-1.00
40.06,37.35,-1.00
43.34,40.11,0.00
46.62,42.88,0.00
49.90,45.64,0.00
53.17,48.40,0.00
56.45,51.17,0.00
59.73,53.93,0.00
63.01,56.69,0.00
66.28,59.46,0.00
69.56,62.22,0.00
72.84,64.74,1.00
64.27,56.78,0.00
61.38,54.09,0.00
58.49,51.40,0.00
55.59,48.71,0.00
52.70,46.02,0.00
49.81,43.67,-1.00
46.92,41.83,-1.00
44.02,39.97,-1.00
41.13,38.07,-1.00
38.24,36.12,-1.00
35.35,34.11,-1.00
38.56,36.78,0.00
41.78,39.45,0.00
44.99,42.13,0.00
48.20,44.80,0.00
51.42,47.47,0.00
54.63,50.15,0.00
57.84,52.82,0.00
61.06,55.49,0.00
64.27,58.17,0.00
38.56,36.78,0.00
35.67,34.37,0.00
32.78,32.27,-1.00
29.88,30.12,-1.00
26.99,27.90,-1.00
24.10,25.57,-1.00
21.21,23.15,-1.00
24.68,30.95,1.00
28.15,33.54,1.00
31.62,36.00,1.00
35.09,38.36,1.00
38.56,40.68,1.00
8.57,11.06,-1.00
6.64,8.97,-1.00
4.71,6.81,-1.00
8.57,14.87,1.00
17.14,24.51,1.00
14.57,21.94,1.00
12.00,19.12,1.00
9.43,15.99,1.00
13.28,20.57,1.00
17.14,24.51,1.00
47.13,46.39,1.00
44.48,43.73,0.00
41.83,41.08,0.00
39.18,38.42,0.00
36.53,35.77,0.00
33.87,33.12,0.00
31.22,31.13,-1.00
28.57,29.13,-1.00
25.92,27.05,-1.00
28.95,29.51,0.00
31.98,31.98,0.00
35.01,34.44,0.00
38.04,36.91,0.00
41.07,39.37,0.00
44.10,41.84,0.00
47.13,44.30,0.00
92.12,80.91,0.00
89.16,78.50,0.00
86.20,76.09,0.00
83.24,73.68,0.00
80.28,71.27,0.00
77.31,68.86,0.00
74.35,66.45,0.00
71.39,64.05,0.00
68.43,61.64,0.00
65.47,59.23,0.00
62.51,56.82,0.00
59.55,54.41,0.00
