# setPoint, prevTorque, Torque
64.700,1.250,73.343
62.500,73.343,71.495
60.300,71.495,68.113
58.100,68.113,66.569
56.000,66.569,64.541
53.900,64.541,62.537
51.800,62.537,60.060
49.700,60.060,58.697
47.700,58.697,55.984
45.600,55.984,52.357
43.700,52.357,50.810
41.700,50.810,47.102
43.900,47.102,49.577
46.000,49.577,51.378
48.300,51.378,53.707
50.500,53.707,56.700
52.800,56.700,58.962
55.100,58.962,62.500
57.500,62.500,64.188
59.900,64.188,68.012
62.300,68.012,71.871
64.700,71.871,74.244
58.400,74.244,68.281
56.300,68.281,66.136
54.200,66.136,62.887
52.200,62.887,60.511
50.200,60.511,59.274
48.200,59.274,56.514
46.200,56.514,53.591
44.300,53.591,51.733
42.400,51.733,48.920
40.500,48.920,46.764
38.500,46.764,43.997
40.700,43.997,45.469
42.800,45.469,47.752
45.000,47.752,49.921
47.100,49.921,51.457
49.300,51.457,54.143
51.500,54.143,57.623
53.800,57.623,59.093
56.100,59.093,63.211
58.400,63.211,64.267
40.700,64.267,45.267
38.700,45.267,43.719
36.800,43.719,41.463
34.800,41.463,37.971
32.700,37.971,36.144
30.500,36.144,33.574
28.200,33.574,30.027
31.000,30.027,31.595
33.500,31.595,34.695
36.000,34.695,36.487
38.400,36.487,40.792
40.700,40.792,42.898
14.900,42.898,13.748
12.200,13.748,9.713
9.300,9.713,7.730
14.900,7.730,10.348
24.500,10.348,20.292
21.900,20.292,17.723
19.100,17.723,16.217
16.000,16.217,13.795
20.600,13.795,16.609
24.500,16.609,19.953
46.400,19.953,48.703
44.600,48.703,49.231
42.800,49.231,46.259
41.100,46.259,44.702
39.300,44.702,43.108
37.500,43.108,41.368
35.700,41.368,39.585
33.900,39.585,36.313
31.900,36.313,34.581
34.100,34.581,37.287
36.200,37.287,38.790
38.300,38.790,41.099
40.300,41.099,43.543
42.300,43.543,44.725
44.400,44.725,46.863
46.400,46.863,49.277
79.400,49.277,94.684
77.100,94.684,93.151
74.800,93.151,91.538
72.600,91.538,88.938
70.300,88.938,86.521
68.100,86.521,84.339
65.900,84.339,82.012
63.700,82.012,78.915
61.500,78.915,77.079
59.300,77.079,73.959
57.100,73.959,71.495
55.000,71.495,68.490
52.900,68.490,65.033
50.800,65.033,61.553
48.800,61.553,60.903
51.000,60.903,61.510
53.200,61.510,63.238
55.500,63.238,65.827
57.800,65.827,68.287
60.100,68.287,71.375
62.500,71.375,74.267
64.800,74.267,77.060
67.200,77.060,79.610
69.600,79.610,82.312
72.000,82.312,85.183
74.500,85.183,87.079
76.900,87.079,91.377
79.400,91.377,95.048
8.600,95.048,5.616
5.400,5.616,3.986
28.300,3.986,20.758
26.200,20.758,20.596
24.000,20.596,20.894
21.500,20.894,19.091
18.900,19.091,16.606
22.400,16.606,18.880
25.500,18.880,19.839
28.300,19.839,23.571
50.800,23.571,55.796
48.900,55.796,53.900
47.100,53.900,52.363
45.300,52.363,50.461
43.500,50.461,49.886
41.700,49.886,47.807
40.000,47.807,47.102
38.200,47.102,43.768
36.400,43.768,41.173
34.500,41.173,38.411
36.600,38.411,40.091
38.600,40.091,41.418
40.600,41.418,43.740
42.600,43.740,46.101
44.600,46.101,48.947
46.700,48.947,50.362
48.700,50.362,51.807
50.800,51.807,56.105
31.700,56.105,33.606
29.500,33.606,31.447
27.100,31.447,29.119
24.400,29.119,25.573
21.500,25.573,21.073
25.300,21.073,24.008
28.700,24.008,26.869
31.700,26.869,30.684
36.400,30.684,36.937
34.300,36.937,35.912
32.200,35.912,31.918
30.000,31.918,30.268
27.600,30.268,28.233
25.000,28.233,25.730
28.200,25.730,28.099
31.100,28.099,30.514
33.800,30.514,33.301
36.400,33.301,36.061
43.500,36.061,46.025
41.700,46.025,44.888
39.900,44.888,43.640
38.000,43.640,41.732
36.100,41.732,39.706
34.200,39.706,37.578
32.200,37.578,33.306
30.100,33.306,31.076
32.500,31.076,34.585
34.900,34.585,35.823
37.100,35.823,37.815
39.300,37.815,40.107
41.400,40.107,43.369
43.500,43.369,45.935
69.600,45.935,82.818
67.300,82.818,80.129
65.100,80.129,78.048
62.900,78.048,76.349
60.700,76.349,74.617
58.500,74.617,71.076
56.400,71.076,67.971
54.200,67.971,65.655
52.100,65.655,63.213
50.100,63.213,61.696
48.000,61.696,57.871
46.000,57.871,56.452
44.000,56.452,52.243
46.200,52.243,55.441
48.400,55.441,57.611
50.600,57.611,59.514
52.900,59.514,62.893
55.200,62.893,65.099
57.500,65.099,67.187
59.900,67.187,70.169
62.300,70.169,73.846
64.700,73.846,77.176
67.100,77.176,79.668
69.600,79.668,83.797
22.400,83.797,22.790
20.000,22.790,19.388
17.300,19.388,17.318
14.400,17.318,13.686
18.700,13.686,18.034
22.400,18.034,19.292
5.000,19.292,6.412
3.200,6.412,5.987
82.800,5.987,98.320
80.500,98.320,96.479
78.200,96.479,95.787
76.000,95.787,94.320
73.800,94.320,90.137
71.600,90.137,87.987
69.400,87.987,85.961
67.200,85.961,84.555
65.100,84.555,82.567
62.900,82.567,80.522
60.800,80.522,77.546
58.700,77.546,74.082
56.600,74.082,72.935
