# setPoint, prevTorque, Torque
64.700,1.250,73.175
56.400,73.175,64.105
54.500,64.105,62.240
52.500,62.240,60.148
50.600,60.148,57.663
48.800,57.663,55.449
46.900,55.449,53.543
45.000,53.543,50.226
43.200,50.226,48.021
41.300,48.021,46.486
39.300,46.486,43.921
37.300,43.921,40.127
43.900,40.127,46.935
46.000,46.935,49.197
48.300,49.197,51.733
50.500,51.733,54.597
52.800,54.597,56.629
55.100,56.629,59.727
57.500,59.727,62.129
59.900,62.129,65.256
62.300,65.256,68.960
64.700,68.960,72.056
52.800,72.056,59.650
50.900,59.650,57.931
49.100,57.931,56.622
47.300,56.622,54.065
45.500,54.065,51.871
43.700,51.871,48.616
41.800,48.616,46.720
40.000,46.720,45.110
38.100,45.110,42.115
36.100,42.115,40.156
34.100,40.156,36.864
40.700,36.864,43.680
42.800,43.680,45.029
45.000,45.029,47.856
47.100,47.856,50.243
49.300,50.243,52.587
51.500,52.587,55.865
53.800,55.865,58.097
56.100,58.097,62.465
58.400,62.465,64.612
36.300,64.612,38.313
34.300,38.313,36.017
32.300,36.017,33.926
30.100,33.926,30.650
27.900,30.650,28.261
25.600,28.261,24.968
23.100,24.968,20.325
31.000,20.325,29.450
33.500,29.450,32.095
36.000,32.095,34.285
38.400,34.285,37.985
40.700,37.985,41.653
11.100,41.653,7.166
9.000,7.166,5.627
6.800,5.627,4.421
14.900,4.421,9.519
24.500,9.519,16.731
17.100,16.731,12.032
14.600,12.032,10.432
12.000,10.432,7.918
20.600,7.918,14.058
24.500,14.058,17.581
46.400,17.581,49.558
40.300,49.558,42.903
38.500,42.903,41.029
36.800,41.029,39.520
34.900,39.520,36.998
33.100,36.998,34.021
31.100,34.021,33.154
29.100,33.154,29.488
27.000,29.488,27.322
34.100,27.322,33.546
36.200,33.546,36.945
38.300,36.945,38.864
40.300,38.864,41.099
42.300,41.099,44.081
44.400,44.081,46.759
46.400,46.759,49.255
79.400,49.255,94.712
70.900,94.712,87.164
68.400,87.164,84.131
66.100,84.131,82.963
63.800,82.963,79.591
61.600,79.591,77.551
59.500,77.551,75.201
57.500,75.201,72.015
55.500,72.015,69.364
53.500,69.364,67.621
51.600,67.621,63.883
49.800,63.883,61.347
47.900,61.347,58.276
46.100,58.276,56.573
44.200,56.573,53.888
51.000,53.888,60.359
53.200,60.359,63.515
55.500,63.515,65.478
57.800,65.478,68.608
60.100,68.608,71.762
62.500,71.762,75.786
64.800,75.786,78.217
67.200,78.217,80.810
69.600,80.810,82.915
72.000,82.915,85.191
74.500,85.191,88.864
76.900,88.864,91.754
79.400,91.754,96.348
6.300,96.348,3.237
4.100,3.237,3.370
28.300,3.370,20.776
21.200,20.776,15.884
19.000,15.884,14.728
16.800,14.728,11.087
14.400,11.087,9.588
22.400,9.588,16.325
25.500,16.325,17.987
28.300,17.987,20.666
50.800,20.666,55.455
44.300,55.455,48.296
42.700,48.296,48.562
40.900,48.562,45.385
39.200,45.385,43.925
37.400,43.925,41.807
35.600,41.807,38.881
33.700,38.881,37.060
31.800,37.060,33.942
29.800,33.942,30.935
36.600,30.935,38.057
38.600,38.057,40.745
40.600,40.745,43.297
42.600,43.297,45.206
44.600,45.206,47.854
46.700,47.854,51.620
48.700,51.620,53.147
50.800,53.147,56.666
26.900,56.666,26.959
24.500,26.959,24.127
22.000,24.127,21.726
19.400,21.726,18.066
16.700,18.066,16.075
25.300,16.075,21.429
28.700,21.429,25.074
31.700,25.074,29.125
36.400,29.125,35.025
29.600,35.025,29.316
27.400,29.316,26.005
25.000,26.005,21.826
22.600,21.826,20.312
20.000,20.312,18.598
28.200,18.598,25.487
31.100,25.487,29.040
33.800,29.040,33.323
36.400,33.323,36.842
43.500,36.842,46.446
37.400,46.446,40.535
35.500,40.535,37.462
33.600,37.462,35.263
31.600,35.263,34.013
29.500,34.013,30.696
27.400,30.696,27.590
25.100,27.590,24.788
32.500,24.788,33.190
34.900,33.190,34.255
37.100,34.255,37.539
39.300,37.539,41.374
41.400,41.374,43.704
43.500,43.704,47.261
69.600,47.261,85.117
60.900,85.117,76.172
58.800,76.172,73.762
56.800,73.762,72.330
54.800,72.330,69.011
52.900,69.011,66.216
51.000,66.216,63.703
49.100,63.703,62.027
47.200,62.027,59.297
45.400,59.297,56.486
43.500,56.486,53.342
41.600,53.342,50.823
39.700,50.823,48.546
46.200,48.546,55.451
48.400,55.451,56.079
50.600,56.079,58.092
52.900,58.092,62.069
55.200,62.069,65.536
57.500,65.536,67.800
59.900,67.800,71.302
62.300,71.302,75.003
64.700,75.003,77.294
67.100,77.294,80.964
69.600,80.964,84.093
17.500,84.093,13.978
15.300,13.978,12.676
13.100,12.676,9.077
10.700,9.077,7.346
18.700,7.346,14.741
22.400,14.741,16.820
3.800,16.820,1.711
2.600,1.711,1.764
82.800,1.764,104.286
74.800,104.286,95.989
