# setPoint, prevTorque, Torque
99.081,1.250,115.612
84.283,115.612,103.476
99.441,8.374,117.320
75.521,117.320,93.813
99.441,8.276,117.542
67.526,117.542,84.128
99.441,8.258,117.467
60.033,117.467,73.637
99.441,8.249,116.794
52.779,116.794,63.265
99.441,8.224,116.999
45.500,116.999,52.873
99.441,8.235,116.407
37.930,116.407,40.601
99.441,8.280,116.892
29.808,116.892,28.757
99.441,8.226,116.481
20.867,116.481,17.836
99.441,8.250,116.862
10.845,116.862,8.123
99.441,8.026,116.840
0.000,116.840,3.198
