# setPoint, prevTorque, Torque
3.25,1.25,0.03
17.97,0.03,8.02
2.75,1.25,0.51
17.97,0.51,9.33
2.75,1.25,2.62
17.97,2.62,9.35
2.75,1.25,1.58
17.97,1.58,10.91
2.75,1.25,0.53
17.97,0.53,10.76
2.75,1.25,2.58
28.49,2.58,21.32
2.17,1.25,0.38
28.49,0.38,22.13
2.17,1.25,1.47
28.49,1.47,22.80
2.17,1.25,0.94
28.49,0.94,20.74
2.17,1.25,2.20
28.49,2.20,22.19
2.17,1.25,1.22
36.90,1.22,32.30
1.58,1.25,1.89
36.90,1.89,31.59
1.58,1.25,1.41
36.90,1.41,30.19
1.58,1.25,-0.02
36.90,-0.02,31.26
1.58,1.25,0.12
36.90,0.12,32.39
1.58,1.25,1.23
44.53,1.23,41.02
1.02,1.25,2.43
44.53,2.43,40.14
1.02,1.25,0.66
44.53,0.66,40.24
1.02,1.25,2.15
44.53,2.15,40.98
1.02,1.25,1.72
44.53,1.72,41.58
1.02,1.25,0.85
52.11,0.85,49.28
0.52,1.25,2.31
52.11,2.31,50.03
0.52,1.25,1.24
52.11,1.24,50.85
0.52,1.25,0.98
52.11,0.98,50.06
0.52,1.25,-0.48
52.11,-0.48,49.56
0.52,1.25,0.57
59.98,0.57,57.89
0.14,1.25,0.60
59.98,0.60,59.26
0.14,1.25,1.78
59.98,1.78,58.67
0.14,1.25,0.08
59.98,0.08,58.09
0.14,1.25,0.23
59.98,0.23,59.09
0.14,1.25,0.59
68.17,0.59,68.47
0.00,1.25,1.44
68.17,1.44,67.65
0.00,1.25,1.34
68.17,1.34,68.40
0.00,1.25,1.43
68.17,1.43,68.95
0.00,1.25,1.62
68.17,1.62,69.57
0.00,1.25,2.28
76.59,2.28,78.32
0.00,1.25,1.55
76.59,1.55,79.15
0.00,1.25,1.19
76.59,1.19,78.44
0.00,1.25,1.17
76.59,1.17,78.77
0.00,1.25,1.28
76.59,1.28,78.81
0.00,1.25,1.65
85.16,1.65,86.81
0.20,1.25,0.47
85.16,0.47,88.88
0.20,1.25,0.70
85.16,0.70,88.96
0.20,1.25,2.22
85.16,2.22,86.98
0.20,1.25,1.17
85.16,1.17,87.66
0.20,1.25,-0.05
93.94,-0.05,96.46
0.86,1.25,1.12
93.94,1.12,98.61
0.86,1.25,1.19
93.94,1.19,96.09
0.86,1.25,0.36
93.94,0.36,95.86
0.86,1.25,2.13
93.94,2.13,95.91
0.86,1.25,-0.37
100.00,-0.37,101.11
0.00,1.25,0.52
100.00,0.52,100.30
0.00,1.25,-0.73
100.00,-0.73,101.40
0.00,1.25,1.81
100.00,1.81,101.96
0.00,1.25,1.15
100.00,1.15,101.28
