# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
0.00,0.00,-3.20,2.46,87.13
0.02,0.00,-3.70,2.94,87.20
0.04,0.00,-3.20,2.76,87.30
0.06,0.00,-2.70,2.82,87.36
0.08,0.00,-2.10,2.64,87.43
0.10,0.00,-2.70,2.82,87.51
0.12,0.00,-4.80,2.70,87.55
0.14,0.00,-2.70,2.70,87.59
0.16,0.00,-4.30,3.00,87.64
0.19,0.00,-2.10,2.82,87.67
0.21,0.00,-1.00,2.70,87.73
0.23,0.00,-2.70,2.76,87.77
0.25,0.00,-1.60,2.76,87.79
0.27,0.00,-2.70,2.58,87.83
0.29,0.00,-3.20,2.64,87.86
0.31,0.00,-2.10,2.70,87.87
0.33,0.00,-2.10,2.76,87.92
0.35,0.00,-4.30,2.58,87.95
0.37,0.00,-2.10,2.76,87.97
0.39,0.00,-2.10,2.70,88.00
0.41,0.00,-2.10,2.76,88.00
0.43,0.00,-3.70,2.76,88.03
0.45,0.00,-2.10,2.10,88.04
0.47,0.00,-2.70,2.82,88.04
0.49,0.00,-5.40,2.64,88.06
0.51,0.00,-2.70,2.58,88.07
0.54,0.00,-3.20,2.82,88.06
0.56,0.00,-0.50,2.58,88.08
0.58,0.00,-4.80,2.82,88.07
0.60,0.00,-3.20,2.82,88.06
0.62,0.00,-3.20,2.82,88.09
0.64,0.00,-1.60,2.76,88.08
0.66,0.00,-3.70,2.82,88.09
0.68,0.00,-2.70,2.82,88.10
0.70,0.00,-1.00,2.76,88.09
0.72,0.00,-2.10,2.76,88.12
0.74,0.00,-0.50,2.82,88.12
0.76,0.00,-2.10,2.70,88.12
0.78,0.00,-2.70,2.82,88.14
nan,nan,nan,nan,nan
0.80,0.00,-3.20,2.82,88.15
0.82,0.00,-4.30,2.88,88.14
0.84,0.00,-2.10,2.70,88.17
0.86,0.00,-3.70,2.70,88.16
0.88,0.00,-3.70,2.58,88.17
0.90,0.00,-1.00,2.76,88.16
0.92,0.00,-3.70,2.88,88.15
0.94,0.00,-2.10,2.94,88.16
0.96,0.00,-1.00,2.10,88.16
0.99,0.00,-3.70,2.76,88.15
1.01,0.00,-6.50,2.58,88.14
1.03,0.00,-3.20,2.64,88.14
1.05,0.00,-3.20,2.76,88.13
1.07,0.00,-1.00,2.88,88.14
1.09,0.00,-3.20,2.70,88.13
1.11,0.00,-3.20,2.10,88.14
1.13,0.00,-4.80,2.82,88.15
1.15,0.00,-1.00,2.88,88.15
1.17,0.00,-2.10,2.82,88.16
1.19,0.00,-3.20,2.70,88.18
1.21,0.00,-3.70,2.82,88.17
1.23,0.00,-4.80,2.70,88.19
1.25,0.00,-5.40,2.76,88.20
1.27,0.00,-2.70,2.70,88.20
1.29,0.00,-2.70,2.64,88.21
1.31,0.00,-2.70,2.64,88.21
1.33,0.00,-1.60,2.70,88.21
1.36,0.00,-3.70,2.70,88.21
1.38,0.00,1.10,2.82,88.20
