# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
0.00,0.00,67.30,11.28,55.13
0.02,0.00,48.30,10.62,55.18
0.04,0.00,28.30,8.70,55.42
0.06,0.00,8.70,6.84,56.12
0.08,0.00,-2.70,4.86,57.59
0.10,0.00,1.10,3.84,59.26
0.12,0.00,-2.10,3.06,61.12
0.14,0.00,-0.50,3.06,63.00
0.16,0.00,1.70,3.00,64.84
0.18,0.00,2.80,2.40,66.58
0.20,0.00,1.70,1.98,68.22
0.23,0.00,0.00,1.98,69.97
0.25,0.00,0.60,1.98,71.36
0.27,0.00,-0.50,2.28,72.63
0.29,0.00,-2.10,2.10,73.80
0.31,0.00,1.10,2.16,74.87
0.33,0.00,-0.50,2.04,76.00
0.35,0.00,-1.60,2.04,76.89
0.37,0.00,-1.60,2.10,77.70
0.39,0.00,-0.50,1.98,78.43
0.41,0.00,0.00,2.10,79.11
0.43,0.00,0.60,2.04,79.81
0.45,0.00,-1.00,1.80,80.36
0.47,0.00,1.70,1.98,80.85
0.49,0.00,-1.60,2.22,81.29
0.51,0.00,0.00,2.04,81.72
0.53,0.00,-1.60,1.98,82.08
0.55,0.00,0.00,2.16,82.44
0.57,0.00,-1.00,1.98,82.72
0.59,0.00,0.60,2.16,83.01
0.62,0.00,0.00,2.10,83.26
0.64,0.00,2.80,2.16,83.54
0.66,0.00,-0.50,2.04,83.76
0.68,0.00,0.00,2.04,83.94
0.70,0.00,1.10,1.98,84.12
0.72,0.00,-1.00,2.22,84.27
0.74,0.00,1.10,2.04,84.42
0.76,0.00,-2.10,2.04,84.56
0.78,0.00,-1.00,1.92,84.71
0.80,0.00,1.70,2.04,84.83
nan,nan,nan,nan,nan
0.82,0.00,1.10,1.92,84.94
0.84,0.00,1.70,2.10,85.03
0.86,0.00,1.10,1.98,85.13
0.88,0.00,2.80,1.98,85.21
0.90,0.00,0.00,1.86,85.29
0.92,0.00,-1.00,2.04,85.37
0.95,0.00,-2.70,1.98,85.42
0.97,0.00,0.60,1.86,85.48
0.99,0.00,1.70,1.80,85.53
1.01,0.00,-0.50,2.10,85.57
1.03,0.00,-1.00,1.98,85.61
1.05,0.00,-0.50,1.98,85.63
1.07,0.00,-0.50,2.04,85.67
1.09,0.00,-0.50,2.28,85.69
1.11,0.00,-1.60,2.10,85.69
1.13,0.00,0.00,2.34,85.72
1.15,0.00,-2.10,2.04,85.72
1.17,0.00,1.70,1.98,85.76
1.19,0.00,1.70,1.92,85.77
1.21,0.00,-1.60,2.22,85.79
1.23,0.00,0.60,2.10,85.82
1.25,0.00,0.60,2.34,85.82
1.27,0.00,0.00,2.04,85.85
1.30,0.00,-0.50,2.04,85.86
1.32,0.00,1.70,2.10,85.88
1.34,0.00,0.60,2.10,85.90
1.36,0.00,-0.50,1.92,85.89
1.38,0.00,-0.50,1.80,85.91
1.40,0.00,0.00,1.98,85.91
1.42,0.00,-1.60,2.10,85.92
nan,nan,nan,nan,nan
1.44,0.00,2.80,2.04,85.94
1.46,0.00,-0.50,1.92,85.93
1.48,0.00,0.00,1.80,85.94
1.50,0.00,-1.00,2.16,85.92
1.52,0.00,-1.00,2.22,85.92
1.54,0.00,1.10,2.04,85.93
1.56,0.00,1.70,2.16,85.92
1.58,0.00,2.80,2.04,85.93
1.60,0.00,0.60,1.98,85.93
1.62,0.00,-1.00,1.98,85.92
1.64,0.00,1.10,2.04,85.92
1.67,0.00,-2.10,2.16,85.91
1.69,0.00,0.00,2.10,85.91
1.71,0.00,-2.70,2.04,85.92
1.73,0.00,-0.50,2.10,85.91
1.75,0.00,0.60,2.10,85.93
1.77,0.00,-1.60,1.98,85.92
1.79,0.00,1.10,1.98,85.93
1.81,0.00,-1.00,2.04,85.95
1.83,0.00,-0.50,2.04,85.95
1.85,0.00,0.00,2.10,85.97
1.87,0.00,-1.00,1.92,85.95
1.89,0.00,-3.70,1.86,85.97
1.91,0.00,0.00,2.04,85.96
1.93,0.00,-2.70,2.04,85.98
1.95,0.00,3.30,2.04,85.96
1.97,0.00,1.70,2.04,85.97
1.99,0.00,-3.70,2.04,85.98
2.01,6.80,-1.00,2.10,85.94
2.03,6.80,7.60,2.10,85.94
2.05,6.80,7.60,2.16,85.92
2.08,6.80,8.20,2.22,85.89
2.10,6.80,6.60,2.16,85.87
2.12,6.80,6.00,2.28,85.81
2.14,6.80,6.60,2.04,85.81
2.16,6.80,5.50,2.22,85.75
2.18,6.80,7.10,2.10,85.74
2.20,6.80,3.30,1.98,85.68
2.22,6.80,7.10,2.16,85.66
2.24,6.80,7.10,2.52,85.64
2.26,6.80,7.60,2.04,85.63
nan,nan,nan,nan,nan
2.28,6.80,7.10,1.98,85.60
2.30,6.80,8.20,2.52,85.56
2.32,6.80,6.00,2.22,85.54
2.34,6.80,7.60,2.28,85.52
2.36,6.80,9.30,2.04,85.49
2.38,6.80,8.20,1.98,85.49
2.40,6.80,6.60,1.98,85.46
2.42,6.80,5.50,2.10,85.44
2.44,6.80,5.50,2.28,85.43
2.46,6.80,7.10,2.22,85.41
2.49,6.80,6.60,2.28,85.41
2.51,6.80,6.00,2.34,85.38
2.53,6.80,7.10,2.04,85.36
2.55,6.80,7.60,2.04,85.37
2.57,6.80,7.60,1.98,85.37
2.59,6.80,4.90,2.40,85.34
2.61,6.80,8.20,1.98,85.34
2.63,6.80,6.60,2.04,85.36
2.65,6.80,7.10,2.04,85.37
2.67,6.80,8.20,2.04,85.36
2.69,6.80,6.60,2.04,85.37
2.71,6.80,5.50,2.04,85.37
2.73,6.80,6.00,2.40,85.38
2.75,6.80,7.60,2.16,85.37
2.77,6.80,7.10,2.10,85.39
2.79,6.80,8.20,2.64,85.38
2.81,6.80,5.50,2.04,85.38
2.83,6.80,7.60,2.10,85.40
2.85,6.80,6.60,2.04,85.37
2.87,6.80,8.70,2.40,85.40
2.89,6.80,8.70,2.22,85.35
2.91,6.80,8.70,2.04,85.36
2.93,6.80,6.60,2.28,85.34
2.95,6.80,6.60,2.16,85.33
2.98,6.80,6.60,2.64,85.36
3.00,6.80,9.80,2.22,85.32
3.02,6.80,7.60,2.10,85.34
3.04,6.80,7.10,2.22,85.34
3.06,6.80,6.60,2.10,85.33
3.08,6.80,6.60,2.40,85.34
3.10,6.80,7.60,1.86,85.33
3.12,6.80,5.50,2.16,85.37
3.14,6.80,7.10,2.04,85.36
3.16,6.80,7.60,1.86,85.38
3.18,6.80,6.00,1.98,85.38
nan,nan,nan,nan,nan
3.20,6.80,9.30,2.10,85.37
3.22,6.80,8.20,2.04,85.38
3.24,6.80,7.10,2.04,85.38
3.27,6.80,6.00,2.28,85.35
3.29,6.80,5.50,2.34,85.37
3.31,6.80,8.20,2.04,85.36
3.33,6.80,6.60,2.16,85.38
3.35,6.80,7.60,2.10,85.35
3.37,6.80,6.60,2.16,85.36
3.39,6.80,7.10,2.16,85.34
3.41,6.80,8.70,2.28,85.33
3.43,6.80,4.90,2.22,85.32
3.45,6.80,8.20,2.40,85.32
3.47,6.80,8.70,1.98,85.34
3.49,6.80,6.00,2.22,85.31
3.51,6.80,6.00,2.04,85.32
3.53,6.80,7.10,2.04,85.33
3.55,6.80,7.10,2.04,85.32
3.57,6.80,7.60,2.22,85.34
3.59,6.80,7.60,2.04,85.34
3.61,6.80,6.00,2.10,85.35
3.63,6.80,7.10,2.22,85.37
3.66,6.80,5.50,1.98,85.36
3.68,6.80,6.60,1.98,85.38
3.70,6.80,7.60,2.04,85.39
3.72,6.80,5.50,2.04,85.39
3.74,6.80,6.00,2.40,85.41
3.76,6.80,4.90,2.10,85.40
3.78,6.80,8.70,2.04,85.42
3.80,6.80,6.60,2.16,85.42
3.82,6.80,9.30,2.40,85.41
3.84,6.80,7.10,1.80,85.41
3.86,6.80,6.60,1.98,85.41
3.88,6.80,8.70,2.16,85.40
nan,nan,nan,nan,nan
3.90,6.80,7.10,2.04,85.38
3.92,6.80,5.50,2.58,85.41
3.94,6.80,8.20,2.10,85.41
3.96,6.80,6.60,2.04,85.41
3.98,6.80,7.10,2.04,85.40
4.00,13.60,4.90,2.22,85.41
4.02,13.60,14.70,2.34,85.41
4.04,13.60,15.20,2.28,85.36
4.06,13.60,13.10,2.58,85.33
4.08,13.60,15.20,2.76,85.25
4.11,13.60,12.50,1.98,85.18
4.13,13.60,13.60,2.40,85.13
4.15,13.60,12.00,2.34,85.05
4.17,13.60,15.20,3.00,84.97
4.19,13.60,13.10,2.46,84.89
4.21,13.60,13.60,2.58,84.83
4.23,13.60,13.60,2.82,84.73
4.25,13.60,15.20,2.64,84.70
4.27,13.60,15.80,2.52,84.64
4.29,13.60,12.00,2.28,84.58
4.31,13.60,15.80,2.58,84.52
4.33,13.60,14.20,2.64,84.45
4.35,13.60,15.80,2.94,84.43
4.37,13.60,15.80,2.88,84.39
4.39,13.60,14.70,2.82,84.35
4.41,13.60,13.10,2.70,84.31
4.43,13.60,15.20,2.88,84.29
nan,nan,nan,nan,nan
4.46,13.60,10.90,2.52,84.25
4.48,13.60,13.60,2.76,84.27
4.50,13.60,14.70,2.76,84.25
4.52,13.60,14.20,2.58,84.26
4.54,13.60,10.90,2.40,84.24
4.56,13.60,12.50,2.64,84.23
4.59,13.60,10.90,2.64,84.21
4.61,13.60,13.10,2.76,84.20
4.63,13.60,13.60,2.88,84.21
4.65,13.60,11.40,2.58,84.19
4.67,13.60,15.20,2.82,84.21
4.69,13.60,14.20,2.88,84.19
4.71,13.60,12.00,2.64,84.20
4.73,13.60,14.20,2.82,84.20
4.75,13.60,14.20,2.22,84.18
4.77,13.60,13.10,3.06,84.17
4.79,13.60,12.50,2.76,84.12
4.81,13.60,15.80,2.94,84.12
4.83,13.60,13.60,2.46,84.09
4.85,13.60,16.90,2.94,84.09
4.87,13.60,13.10,2.82,84.08
4.90,13.60,14.20,2.58,84.11
4.92,13.60,15.20,2.94,84.11
4.94,13.60,13.60,2.88,84.09
4.96,13.60,15.80,3.00,84.10
4.98,13.60,12.50,2.94,84.07
5.00,13.60,15.20,2.52,84.11
5.02,13.60,14.20,2.82,84.11
nan,nan,nan,nan,nan
5.04,13.60,15.80,2.46,84.12
5.06,13.60,15.20,2.94,84.12
5.08,13.60,13.10,2.82,84.13
5.10,13.60,14.20,2.52,84.13
5.12,13.60,14.70,2.88,84.11
5.14,13.60,13.10,2.88,84.11
5.16,13.60,12.50,2.22,84.13
5.19,13.60,12.50,2.70,84.12
5.21,13.60,13.60,2.70,84.14
5.23,13.60,13.60,2.76,84.11
5.25,13.60,14.70,2.40,84.11
5.27,13.60,10.90,2.88,84.08
5.29,13.60,12.50,2.76,84.06
5.31,13.60,13.60,2.82,84.07
5.33,13.60,13.60,2.76,84.06
5.35,13.60,11.40,2.88,84.08
5.37,13.60,11.40,3.00,84.06
5.39,13.60,16.30,2.64,84.08
5.41,13.60,12.50,2.34,84.09
5.43,13.60,12.50,2.88,84.09
5.46,13.60,14.20,2.94,84.11
5.48,13.60,13.60,2.82,84.11
5.50,13.60,12.50,2.88,84.14
5.52,13.60,12.00,2.82,84.12
5.54,13.60,15.20,2.82,84.15
nan,nan,nan,nan,nan
5.57,13.60,13.10,3.00,84.14
5.59,13.60,14.20,2.52,84.16
5.61,13.60,14.20,2.94,84.15
5.63,13.60,12.50,2.88,84.17
5.65,13.60,10.90,2.40,84.15
5.67,13.60,13.60,2.76,84.17
5.69,13.60,13.10,2.40,84.17
5.71,13.60,13.10,3.00,84.14
5.73,13.60,14.20,2.70,84.14
5.75,13.60,14.20,2.82,84.10
5.77,13.60,13.10,2.82,84.10
5.79,13.60,14.20,2.64,84.09
5.81,13.60,15.20,2.16,84.10
5.83,13.60,13.60,2.34,84.10
5.85,13.60,13.10,2.16,84.09
5.87,13.60,14.70,3.00,84.09
5.90,13.60,12.50,2.94,84.08
5.92,13.60,15.80,2.76,84.08
5.94,13.60,13.60,2.76,84.09
5.96,13.60,11.40,2.52,84.11
5.98,13.60,13.60,3.00,84.11
6.00,13.60,13.60,2.82,84.11
nan,nan,nan,nan,nan
6.02,20.40,14.20,2.70,84.14
6.04,20.40,22.30,2.88,84.10
6.06,20.40,20.70,2.82,84.08
6.08,20.40,19.60,3.00,83.96
6.10,20.40,19.60,2.94,83.89
6.12,20.40,21.20,3.00,83.75
6.14,20.40,20.70,2.82,83.66
6.17,20.40,21.20,3.00,83.48
6.19,20.40,21.20,3.18,83.35
6.21,20.40,20.10,3.12,83.19
6.23,20.40,20.70,3.12,83.09
6.25,20.40,20.10,3.06,82.97
6.27,20.40,22.30,2.94,82.90
6.30,20.40,22.30,3.00,82.81
6.32,20.40,19.60,2.94,82.74
6.34,20.40,19.00,3.12,82.67
6.36,20.40,19.60,3.00,82.63
6.38,20.40,22.30,2.94,82.58
6.40,20.40,21.20,3.06,82.54
nan,nan,nan,nan,nan
6.42,20.40,21.20,3.06,82.52
6.44,20.40,20.70,3.06,82.48
6.46,20.40,18.50,2.88,82.46
6.48,20.40,22.30,2.94,82.41
6.50,20.40,20.10,3.18,82.37
6.52,20.40,20.10,2.94,82.37
6.54,20.40,19.00,2.88,82.36
6.56,20.40,19.60,3.00,82.33
6.58,20.40,18.00,2.82,82.33
6.60,20.40,19.60,3.00,82.31
6.62,20.40,20.70,3.00,82.31
6.64,20.40,18.50,3.12,82.28
6.66,20.40,19.60,3.00,82.26
6.68,20.40,21.80,2.94,82.21
6.70,20.40,20.70,2.82,82.19
6.72,20.40,21.80,2.94,82.14
6.75,20.40,22.30,3.12,82.13
6.77,20.40,18.00,3.06,82.10
6.79,20.40,23.90,2.94,82.10
6.81,20.40,22.80,2.94,82.09
6.83,20.40,21.20,2.94,82.10
6.85,20.40,21.20,3.00,82.08
6.87,20.40,21.20,3.00,82.06
6.89,20.40,20.70,2.82,82.08
6.91,20.40,20.70,2.82,82.09
6.93,20.40,20.70,2.88,82.09
6.95,20.40,17.40,3.06,82.11
6.97,20.40,23.40,3.06,82.14
6.99,20.40,21.20,2.94,82.13
7.01,20.40,20.10,3.18,82.12
7.03,20.40,21.80,3.24,82.11
7.06,20.40,21.20,3.00,82.11
7.08,20.40,21.80,3.00,82.10
7.10,20.40,21.20,3.00,82.10
7.12,20.40,21.80,2.94,82.09
7.14,20.40,19.00,2.94,82.08
7.16,20.40,20.10,2.94,82.01
7.18,20.40,20.10,3.06,82.01
7.20,20.40,20.10,2.94,81.97
7.22,20.40,19.60,2.94,81.97
nan,nan,nan,nan,nan
7.24,20.40,21.20,3.00,81.97
7.26,20.40,21.20,3.00,81.97
7.28,20.40,18.00,2.94,81.97
7.30,20.40,22.30,2.94,81.96
7.32,20.40,20.10,2.88,81.96
7.34,20.40,19.00,2.94,81.97
7.36,20.40,21.20,2.88,81.99
7.38,20.40,20.10,3.06,81.99
7.40,20.40,20.70,3.24,82.02
7.43,20.40,21.80,3.00,82.01
7.45,20.40,22.80,3.00,82.02
7.47,20.40,19.00,3.30,82.01
7.49,20.40,22.80,3.00,82.02
7.51,20.40,20.10,3.12,82.02
7.53,20.40,20.10,3.18,82.04
7.55,20.40,20.70,3.00,82.03
7.57,20.40,21.20,3.00,82.03
7.59,20.40,20.10,3.00,82.04
7.61,20.40,20.10,3.12,82.06
7.63,20.40,19.00,3.00,82.03
7.65,20.40,22.80,2.82,82.01
7.67,20.40,19.60,2.94,81.99
7.69,20.40,18.00,3.00,81.97
7.71,20.40,18.00,2.94,81.95
7.73,20.40,20.70,2.82,81.94
7.75,20.40,18.50,2.76,81.96
7.77,20.40,20.10,3.00,81.95
7.79,20.40,20.70,3.06,81.96
7.82,20.40,18.00,3.00,81.95
nan,nan,nan,nan,nan
7.84,20.40,19.00,3.06,81.94
7.86,20.40,21.20,3.18,81.96
7.88,20.40,20.10,2.82,81.96
7.90,20.40,20.10,3.00,82.00
7.92,20.40,21.20,3.12,82.00
7.94,20.40,20.70,3.24,82.03
7.97,20.40,19.60,3.00,82.02
7.99,20.40,19.60,2.82,82.04
8.01,27.20,20.10,3.06,82.02
8.03,27.20,29.30,3.18,82.01
8.05,27.20,28.30,3.36,81.92
8.07,27.20,25.60,3.90,81.81
8.09,27.20,26.60,3.96,81.64
8.11,27.20,28.80,3.90,81.45
8.13,27.20,26.60,3.96,81.23
8.15,27.20,26.60,3.78,81.05
8.17,27.20,27.20,3.90,80.83
8.19,27.20,27.70,3.90,80.69
8.21,27.20,29.30,3.84,80.52
8.23,27.20,28.30,3.84,80.39
8.25,27.20,26.10,4.02,80.27
8.27,27.20,28.30,3.90,80.18
8.29,27.20,27.70,3.96,80.06
8.31,27.20,26.60,3.78,80.00
8.34,27.20,26.60,3.84,79.94
8.36,27.20,26.10,3.96,79.88
8.38,27.20,25.60,3.96,79.83
8.40,27.20,25.00,3.96,79.78
8.42,27.20,26.10,3.90,79.74
8.44,27.20,27.70,3.90,79.66
8.46,27.20,26.60,3.90,79.63
8.48,27.20,24.50,4.02,79.58
8.50,27.20,26.10,4.14,79.57
nan,nan,nan,nan,nan
8.52,27.20,27.70,3.96,79.53
8.54,27.20,27.20,3.84,79.51
8.56,27.20,28.80,3.96,79.47
8.58,27.20,29.30,3.96,79.47
8.60,27.20,29.30,3.90,79.42
8.62,27.20,27.20,4.20,79.39
8.64,27.20,28.30,3.96,79.30
8.66,27.20,27.70,4.02,79.27
8.69,27.20,28.30,3.96,79.21
8.71,27.20,26.10,3.96,79.18
8.73,27.20,26.60,3.96,79.16
8.75,27.20,27.20,3.90,79.15
8.77,27.20,28.80,3.72,79.14
8.79,27.20,27.70,3.90,79.12
8.81,27.20,26.10,3.78,79.11
8.83,27.20,27.70,3.96,79.09
8.85,27.20,25.60,3.84,79.10
8.87,27.20,23.90,3.96,79.09
8.89,27.20,26.10,3.90,79.12
8.91,27.20,28.80,3.84,79.13
8.93,27.20,27.20,3.96,79.15
8.95,27.20,28.30,3.96,79.13
8.97,27.20,26.60,4.08,79.16
8.99,27.20,28.80,3.96,79.15
9.01,27.20,28.30,3.90,79.14
9.03,27.20,28.30,3.66,79.12
9.05,27.20,25.60,3.66,79.11
9.07,27.20,28.30,3.90,79.12
9.09,27.20,27.70,4.02,79.10
9.12,27.20,27.20,4.08,79.09
