# Actual Command, Previous Torque, Measured Torque, Predicted Command
96.200,1.250,110.613,104.113
60.000,110.613,70.870,58.201
99.800,70.870,110.807,99.682
97.700,110.807,109.547,91.643
89.700,109.547,104.651,85.575
27.100,104.651,23.942,25.699
8.900,23.942,5.869,9.757
84.500,5.869,95.073,89.380
65.500,95.073,76.831,68.670
59.200,76.831,68.808,63.199
82.500,68.808,93.615,83.920
8.400,93.615,6.170,9.207
75.200,6.170,83.155,80.405
41.900,83.155,43.882,42.694
15.100,43.882,12.341,16.714
10.800,12.341,8.024,13.131
91.200,8.024,103.561,96.271
21.200,103.561,17.677,21.835
55.500,17.677,60.040,57.511
69.000,60.040,74.912,69.222
77.100,74.912,85.154,76.798
45.600,85.154,50.371,47.610
33.900,50.371,36.220,39.039
73.100,36.220,80.774,75.082
69.400,80.774,79.205,71.579
51.900,79.205,59.921,55.701
47.500,59.921,54.772,52.818
34.500,54.772,36.094,38.643
86.300,36.094,97.191,88.288
25.900,97.191,23.186,26.305
33.500,23.186,31.186,31.682
33.200,31.186,30.639,30.429
41.600,30.639,42.415,39.244
57.300,42.415,60.663,53.631
40.300,60.663,43.187,37.308
40.300,43.187,42.404,37.798
89.200,42.404,100.657,91.702
42.400,100.657,46.434,43.632
36.700,46.434,38.371,34.589
6.800,38.371,3.874,6.927
29.000,3.874,21.993,27.502
6.800,21.993,4.906,10.094
85.100,4.906,96.272,90.188
50.900,96.272,57.202,52.324
61.400,57.202,66.897,62.802
79.500,66.897,87.684,79.258
80.900,87.684,92.169,81.770
79.500,92.169,89.577,79.393
56.900,89.577,67.602,61.336
17.400,67.602,13.754,18.395
76.900,13.754,86.217,82.273
69.900,86.217,79.966,71.867
6.500,79.966,6.404,9.225
20.600,6.404,12.365,18.584
53.800,12.365,56.595,56.675
5.300,56.595,5.862,9.226
51.400,5.862,54.005,53.980
93.500,54.005,105.845,94.486
12.600,105.845,9.350,13.895
17.100,9.350,11.077,16.908
7.800,11.077,5.843,12.182
96.500,5.843,107.688,99.640
69.200,107.688,82.503,66.760
85.400,82.503,96.581,80.260
7.300,96.581,5.081,7.887
72.800,5.081,80.323,78.203
7.800,80.323,6.496,9.347
1.700,6.496,1.977,4.767
2.200,1.977,2.230,7.203
11.900,2.230,5.889,12.788
64.600,5.889,72.224,71.158
53.200,72.224,58.899,55.341
27.600,58.899,25.640,30.051
8.600,25.640,5.699,11.006
13.200,5.699,8.307,14.088
91.900,8.307,104.201,96.875
90.700,104.201,105.898,92.093
31.400,105.898,30.585,31.904
40.600,30.585,41.477,38.499
94.800,41.477,107.110,99.488
34.400,107.110,36.674,33.792
23.800,36.674,21.061,23.574
86.500,21.061,97.105,90.874
45.100,97.105,49.058,45.831
78.300,49.058,89.896,81.837
84.300,89.896,96.612,85.244
89.500,96.612,101.822,89.121
12.100,101.822,9.063,13.231
8.400,9.063,6.209,11.049
58.800,6.209,61.816,61.380
36.000,61.816,36.416,38.405
53.500,36.416,55.930,55.063
5.900,55.930,5.502,8.746
59.900,5.502,64.265,63.836
81.900,64.265,91.141,82.154
40.500,91.141,42.516,41.163
48.200,42.516,51.231,45.075
70.600,51.231,78.099,68.504
4.800,78.099,3.682,5.377
31.000,3.682,24.560,32.575
0.000,24.560,1.107,3.820
1.600,1.107,1.866,6.653
0.000,1.866,3.117,8.643
3.600,3.117,2.808,6.461
2.200,2.808,2.768,8.028
5.600,2.768,3.304,7.306
3.500,3.304,2.823,6.468
5.300,2.823,2.284,7.240
5.000,2.284,3.184,8.724
7.200,3.184,3.797,8.051
6.900,3.797,3.277,7.165
10.300,3.277,3.424,7.450
8.500,3.424,4.791,9.547
13.100,4.791,5.725,10.767
12.000,5.725,6.509,11.759
16.200,6.509,8.474,14.210
13.700,8.474,6.561,11.575
15.500,6.561,7.482,12.960
12.700,7.482,5.974,10.863
16.100,5.974,7.931,13.590
14.700,7.931,8.050,13.546
18.100,8.050,9.491,15.267
15.700,9.491,9.979,17.763
17.100,9.979,8.960,16.459
15.400,8.960,7.323,14.373
16.800,7.323,8.962,16.622
14.900,8.962,7.599,14.745
